pageid,page_dim,text,object_type,height,width,x0,x1,y0,y1
1,2550x3300,ContraCTtrAgreement,word,42,298,42,340,3185,3227
1,2550x3300,Between:,word,26,132,352,484,3201,3227
1,2550x3300,Print,word,26,69,1755,1824,3201,3227
1,2550x3300,Date,word,26,68,1834,1902,3201,3227
1,2550x3300,02115116,word,26,124,1938,2062,3201,3227
1,2550x3300,Page,word,32,73,2181,2254,3195,3227
1,2550x3300,1,word,25,9,2293,2302,3203,3228
1,2550x3300,of,word,25,27,2325,2352,3203,3228
1,2550x3300,1,word,25,10,2376,2386,3203,3228
1,2550x3300,ﬁﬁ,word,90,179,202,381,3102,3192
1,2550x3300,CONTRACT,word,50,368,1054,1422,3132,3182
1,2550x3300,-.,word,15,15,222,237,3057,3072
1,2550x3300,',word,3,6,288,294,3069,3072
1,2550x3300,Contractl’Revision,word,26,280,1656,1936,3054,3080
1,2550x3300,Alt,word,26,39,2023,2062,3054,3080
1,2550x3300,Order#,word,26,111,2073,2184,3054,3080
1,2550x3300,1468423,word,26,126,1693,1819,3003,3029
1,2550x3300,1,word,25,11,1867,1878,3002,3027
1,2550x3300,08141954,word,25,144,2025,2169,3005,3030
1,2550x3300,Contract,word,26,124,1248,1372,2844,2870
1,2550x3300,Dates,word,26,84,1383,1467,2844,2870
1,2550x3300,Estimate,word,26,129,1659,1788,2844,2870
1,2550x3300,#,word,26,20,1798,1818,2844,2870
1,2550x3300,02121116,word,26,127,1248,1375,2793,2819
1,2550x3300,-,word,4,10,1386,1396,2801,2805
1,2550x3300,02121116,word,26,126,1407,1533,2793,2819
1,2550x3300,2671,word,26,69,1657,1726,2793,2819
1,2550x3300,Advertiser,word,27,150,1249,1399,2741,2768
1,2550x3300,Original,word,33,110,1978,2088,2735,2768
1,2550x3300,Date,word,26,66,2101,2167,2742,2768
1,2550x3300,1,word,26,10,2178,2188,2742,2768
1,2550x3300,Revision,word,26,121,2199,2320,2742,2768
1,2550x3300,ISSISeminole,word,27,210,1251,1461,2690,2717
1,2550x3300,Tribe,word,27,80,1471,1551,2690,2717
1,2550x3300,of,word,26,32,1561,1593,2691,2717
1,2550x3300,Florida,word,26,110,1603,1713,2691,2717
1,2550x3300,02115116,word,27,124,2007,2131,2691,2718
1,2550x3300,I,word,25,10,2184,2194,2690,2715
1,2550x3300,02115116,word,25,125,2227,2352,2693,2718
1,2550x3300, ,word,318,272,116,388,2825,3143
1,2550x3300, ,word,138,7,381,388,3057,3195
1,2550x3300, ,word,43,1,1239,1240,2885,2928
1,2550x3300, ,word,161,247,2184,2431,2928,3089
1,2550x3300, ,word,48,7,2016,2023,3041,3089
1,2550x3300,WFLX,word,32,117,463,580,3042,3074
1,2550x3300,1100,word,31,88,465,553,2993,3024
1,2550x3300,Banyan,word,40,144,568,712,2984,3024
1,2550x3300,Blvd.,word,31,99,729,828,2993,3024
1,2550x3300,West,word,31,100,462,562,2942,2973
1,2550x3300,Palm,word,31,94,576,670,2942,2973
1,2550x3300,"Beach,",word,37,132,687,819,2936,2973
1,2550x3300,FL,word,30,48,834,882,2943,2973
1,2550x3300,33401,word,31,108,906,1014,2942,2973
1,2550x3300,(561),word,41,93,465,558,2883,2924
1,2550x3300,845-2929,word,32,173,571,744,2892,2924
1,2550x3300, ,word,155,285,1365,1650,2934,3089
1,2550x3300, ,word,54,1193,1237,2430,2831,2885
1,2550x3300,Product,word,25,113,1252,1365,2948,2973
1,2550x3300,SEMINOLE,word,25,174,1243,1417,2897,2922
1,2550x3300,TRIBE,word,25,97,1428,1525,2897,2922
1,2550x3300,OF,word,25,44,1537,1581,2897,2922
1,2550x3300,FL,word,25,38,1594,1632,2897,2922
1,2550x3300, ,word,60,10,1239,1249,2928,2988
1,2550x3300, ,word,43,1,2429,2430,2885,2928
1,2550x3300, ,word,52,1,2429,2430,2831,2883
1,2550x3300, ,word,51,3,1237,1240,2780,2831
1,2550x3300, ,word,51,1,2429,2430,2780,2831
1,2550x3300, ,word,52,9,1233,1242,2728,2780
1,2550x3300, ,word,9,9,1233,1242,2719,2728
1,2550x3300, ,word,61,9,2425,2434,2719,2780
1,2550x3300, ,word,43,416,1233,1649,2676,2719
1,2550x3300, ,word,43,9,2425,2434,2676,2719
1,2550x3300, ,word,61,416,1233,1649,2615,2676
1,2550x3300, ,word,61,9,2425,2434,2615,2676
1,2550x3300, ,word,93,416,1233,1649,2522,2615
1,2550x3300, ,word,93,11,2423,2434,2522,2615
1,2550x3300, ,word,48,11,1638,1649,2474,2522
1,2550x3300, ,word,5,107,1651,1758,2530,2535
1,2550x3300, ,word,10,11,1638,1649,2464,2474
1,2550x3300, ,word,58,11,2423,2434,2464,2522
1,2550x3300, ,word,94,794,1638,2432,2370,2464
1,2550x3300, ,word,312,795,1637,2432,2058,2370
1,2550x3300, ,word,64,580,1852,2432,2306,2370
1,2550x3300, ,word,52,389,1637,2026,2006,2058
1,2550x3300, ,word,52,194,2238,2432,2006,2058
1,2550x3300, ,word,61,795,1637,2432,1945,2006
1,2550x3300,Andi,word,25,66,37,103,2651,2676
1,2550x3300,Billing,word,31,87,1654,1741,2633,2664
1,2550x3300,Cycle,word,33,83,1753,1836,2631,2664
1,2550x3300,Billing,word,31,84,1870,1954,2633,2664
1,2550x3300,Calendar,word,25,130,1968,2098,2639,2664
1,2550x3300,CashiTrade,word,27,170,2191,2361,2639,2666
1,2550x3300,Mentzer,word,30,141,339,480,2564,2594
1,2550x3300,Media,word,28,104,490,594,2564,2592
1,2550x3300,Services,word,30,153,607,760,2564,2594
1,2550x3300,EOMIEOC,word,27,158,1654,1812,2588,2615
1,2550x3300,Broadcast,word,26,146,1870,2016,2589,2615
1,2550x3300,Cash,word,26,74,2191,2265,2589,2615
1,2550x3300,.,word,6,7,2313,2320,2556,2562
1,2550x3300,210,word,29,60,339,399,2520,2549
1,2550x3300,W,word,27,38,409,447,2522,2549
1,2550x3300,Pennsylvania,word,36,234,459,693,2513,2549
1,2550x3300,Ave,word,29,69,703,772,2520,2549
1,2550x3300,a,word,20,15,1686,1701,2535,2555
1,2550x3300,Ion,word,20,41,1714,1755,2535,2555
1,2550x3300,coount,word,26,111,1876,1987,2535,2561
1,2550x3300,xecutlve,word,24,118,2019,2137,2537,2561
