object_type,pageid,x0,x1,y0,y1,top,doctop,width,height,adv,fontname,linewidth,size,text,upright
char,1,47.04,51.682,533.099,544.514,67.486,67.486,4.642,11.414,0.667,DCLTEC+Helvetica-Bold,,11.414,S,True
char,1,51.599,53.916,533.099,544.514,67.486,67.486,2.318,11.414,0.333,DCLTEC+Helvetica-Bold,,11.414,t,True
char,1,53.993,57.863,533.099,544.514,67.486,67.486,3.87,11.414,0.556,DCLTEC+Helvetica-Bold,,11.414,a,True
char,1,57.835,60.153,533.099,544.514,67.486,67.486,2.318,11.414,0.333,DCLTEC+Helvetica-Bold,,11.414,t,True
char,1,60.229,64.099,533.099,544.514,67.486,67.486,3.87,11.414,0.556,DCLTEC+Helvetica-Bold,,11.414,e,True
char,1,64.071,66.006,533.099,544.514,67.486,67.486,1.935,11.414,0.278,DCLTEC+Helvetica-Bold,,11.414, ,True
char,1,66.006,67.941,533.099,544.514,67.486,67.486,1.935,11.414,0.278,DCLTEC+Helvetica-Bold,,11.414,/,True
char,1,67.913,69.848,533.099,544.514,67.486,67.486,1.935,11.414,0.278,DCLTEC+Helvetica-Bold,,11.414, ,True
char,1,69.848,74.1,533.099,544.514,67.486,67.486,4.253,11.414,0.611,DCLTEC+Helvetica-Bold,,11.414,T,True
char,1,74.149,78.019,533.099,544.514,67.486,67.486,3.87,11.414,0.556,DCLTEC+Helvetica-Bold,,11.414,e,True
char,1,77.991,80.699,533.099,544.514,67.486,67.486,2.707,11.414,0.389,DCLTEC+Helvetica-Bold,,11.414,r,True
char,1,80.629,83.336,533.099,544.514,67.486,67.486,2.707,11.414,0.389,DCLTEC+Helvetica-Bold,,11.414,r,True
char,1,83.267,85.202,533.099,544.514,67.486,67.486,1.935,11.414,0.278,DCLTEC+Helvetica-Bold,,11.414,i,True
char,1,85.202,87.519,533.099,544.514,67.486,67.486,2.318,11.414,0.333,DCLTEC+Helvetica-Bold,,11.414,t,True
char,1,87.582,91.835,533.099,544.514,67.486,67.486,4.253,11.414,0.611,DCLTEC+Helvetica-Bold,,11.414,o,True
char,1,91.897,94.605,533.099,544.514,67.486,67.486,2.707,11.414,0.389,DCLTEC+Helvetica-Bold,,11.414,r,True
char,1,94.535,98.405,533.099,544.514,67.486,67.486,3.87,11.414,0.556,DCLTEC+Helvetica-Bold,,11.414,y,True
char,1,119.78,123.622,533.479,541.145,70.855,70.855,3.842,7.667,0.667,WEVZII+ArialMT,,7.667,P,True
char,1,123.622,126.824,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,e,True
char,1,126.738,128.656,533.479,541.145,70.855,70.855,1.918,7.667,0.333,WEVZII+ArialMT,,7.667,r,True
char,1,128.656,133.454,533.479,541.145,70.855,70.855,4.798,7.667,0.833,WEVZII+ArialMT,,7.667,m,True
char,1,133.454,134.733,533.479,541.145,70.855,70.855,1.279,7.667,0.222,WEVZII+ArialMT,,7.667,i,True
char,1,134.658,136.259,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667,t,True
char,1,136.334,137.936,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667, ,True
char,1,151.22,155.379,533.479,541.145,70.855,70.855,4.159,7.667,0.722,WEVZII+ArialMT,,7.667,H,True
char,1,155.298,158.501,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,a,True
char,1,158.42,161.623,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,161.772,164.975,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,d,True
char,1,165.125,168.327,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,168.477,171.68,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,171.829,175.032,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,182.9,186.103,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,L,True
char,1,186.022,189.224,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,o,True
char,1,189.144,192.346,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,192.496,195.699,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,195.848,197.45,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667, ,True
char,1,197.525,202.006,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,G,True
char,1,202.081,205.283,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,205.433,208.636,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,215.09,217.331,533.479,541.145,70.855,70.855,2.241,7.667,0.389,WEVZII+ArialMT,,7.667,*,True
char,1,217.25,221.731,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,O,True
char,1,221.806,223.407,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667,t,True
char,1,223.482,226.685,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,h,True
char,1,226.835,230.037,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,e,True
char,1,229.957,231.875,533.479,541.145,70.855,70.855,1.918,7.667,0.333,WEVZII+ArialMT,,7.667,r,True
char,1,238.37,240.611,533.479,541.145,70.855,70.855,2.241,7.667,0.389,WEVZII+ArialMT,,7.667,*,True
char,1,240.53,242.771,533.479,541.145,70.855,70.855,2.241,7.667,0.389,WEVZII+ArialMT,,7.667,*,True
char,1,242.69,247.488,533.479,541.145,70.855,70.855,4.798,7.667,0.833,WEVZII+ArialMT,,7.667,M,True
char,1,247.252,250.454,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,250.604,251.883,533.479,541.145,70.855,70.855,1.279,7.667,0.222,WEVZII+ArialMT,,7.667,l,True
char,1,252.038,253.64,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667,t,True
char,1,253.715,254.993,533.479,541.145,70.855,70.855,1.279,7.667,0.222,WEVZII+ArialMT,,7.667,i,True
char,1,254.913,258.115,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,p,True
char,1,258.265,259.544,533.479,541.145,70.855,70.855,1.279,7.667,0.222,WEVZII+ArialMT,,7.667,l,True
char,1,259.699,262.902,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,e,True
char,1,271.01,274.852,533.479,541.145,70.855,70.855,3.842,7.667,0.667,WEVZII+ArialMT,,7.667,A,True
char,1,274.61,277.813,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,d,True
char,1,277.962,282.76,533.479,541.145,70.855,70.855,4.798,7.667,0.833,WEVZII+ArialMT,,7.667,m,True
char,1,282.76,284.039,533.479,541.145,70.855,70.855,1.279,7.667,0.222,WEVZII+ArialMT,,7.667,i,True
char,1,283.964,287.167,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,299.83,303.989,533.479,541.145,70.855,70.855,4.159,7.667,0.722,WEVZII+ArialMT,,7.667,H,True
char,1,303.908,307.111,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,a,True
char,1,307.03,310.233,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,310.382,313.585,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,d,True
char,1,313.735,316.937,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,317.087,320.29,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,320.439,323.642,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,336.79,339.993,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,L,True
char,1,339.912,343.114,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,o,True
char,1,343.034,346.236,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,346.386,349.589,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,349.738,351.34,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667, ,True
char,1,351.415,355.896,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,G,True
char,1,355.971,359.173,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,359.323,362.526,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,379.27,381.511,533.479,541.145,70.855,70.855,2.241,7.667,0.389,WEVZII+ArialMT,,7.667,*,True
char,1,381.43,385.911,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,O,True
char,1,385.986,387.587,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667,t,True
char,1,387.662,390.865,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,h,True
char,1,391.015,394.217,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,e,True
char,1,394.137,396.055,533.479,541.145,70.855,70.855,1.918,7.667,0.333,WEVZII+ArialMT,,7.667,r,True
char,1,413.62,417.779,533.479,541.145,70.855,70.855,4.159,7.667,0.722,WEVZII+ArialMT,,7.667,H,True
char,1,417.698,420.901,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,a,True
char,1,420.82,424.023,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,424.172,427.375,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,d,True
char,1,427.525,430.727,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,430.877,434.08,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,434.229,437.432,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,450.58,453.783,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,L,True
char,1,453.702,456.904,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,o,True
char,1,456.824,460.026,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,460.176,463.379,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,g,True
char,1,463.528,465.13,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667, ,True
char,1,465.205,469.686,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,G,True
char,1,469.761,472.963,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,u,True
char,1,473.113,476.316,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,n,True
char,1,493.08,495.321,533.479,541.145,70.855,70.855,2.241,7.667,0.389,WEVZII+ArialMT,,7.667,*,True
char,1,495.24,499.721,533.479,541.145,70.855,70.855,4.481,7.667,0.778,WEVZII+ArialMT,,7.667,O,True
char,1,499.796,501.397,533.479,541.145,70.855,70.855,1.601,7.667,0.278,WEVZII+ArialMT,,7.667,t,True
char,1,501.472,504.675,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,h,True
char,1,504.825,508.027,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,e,True
char,1,507.947,509.865,533.479,541.145,70.855,70.855,1.918,7.667,0.333,WEVZII+ArialMT,,7.667,r,True
char,1,527.4,531.559,533.479,541.145,70.855,70.855,4.159,7.667,0.722,WEVZII+ArialMT,,7.667,H,True
char,1,531.478,534.681,533.479,541.145,70.855,70.855,3.203,7.667,0.556,WEVZII+ArialMT,,7.667,a,True
