state	permit	handgun	long_gun	other	multiple	admin	prepawn_handgun	prepawn_long_gun	prepawn_other	redemption_handgun	redemption_long_gun	redemption_other	returned_handgun	returned_long_gun	returned_other	rentals_handgun	rentals_long_gun	private_sale_handgun	private_sale_long_gun	private_sale_other	return_to_seller_handgun	return_to_seller_long_gun	return_to_seller_other	totals
Alabama	18870	23022	22650	859	1178	0	14	15	0	2179	2307	11	0	0	0			13	14	0	3	2	0	71137
Alaska	209	3062	3209	191	184	0	9	3	0	100	100	0	18	9	1			0	0	0	0	0	0	7095
Arizona	2303	12382	9041	707	618	0	5	3	0	1273	648	4	76	8	1			9	6	1	1	1	0	27087
Arkansas	3298	6359	11611	168	376	0	12	6	1	922	2275	1	0	0	0			6	12	1	0	0	0	25048
California	98452	41181	35007	4559	0	0	0	0	0	480	433	4	0	0	0			0	0	0	0	0	0	180116
Colorado	4144	19784	16082	932	1151	0	0	0	0	0	0	0	144	34	0			0	0	0	0	0	0	42271
Connecticut	9631	11594	5072	134	0	7	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	26438
Delaware	204	2152	2424	65	72	0	3	4	0	17	12	0	0	0	0			59	24	0	4	0	0	5040
District of Columbia	8	54	2	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	64
Florida	15907	50796	28981	2268	1957	121	8	9	0	2248	1135	2	40	5	0			36	19	0	0	0	0	103532
Georgia	14111	16635	15227	448	758	0	10	14	0	1772	1796	4	0	0	0			10	9	1	0	0	0	50795
Guam	0	100	55	12	3	0	0	0	0	1	0	0	0	0	0			0	0	0	0	0	0	171
Hawaii	1248	0	0	0	0	0	0	0	0	0	0	0	1	3	0			0	0	0	0	0	0	1252
Idaho	1944	3609	5227	190	189	0	0	4	0	273	455	1	22	4	1			1	2	0	0	3	0	11925
Illinois	87190	24412	17227	0	1032	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	129861
Indiana	81935	25519	20227	1113	808	0	2	3	0	13	629	5	28	0	0			31	13	1	2	4	0	130333
Iowa	8785	267	4596	27	4	37	0	1	0	0	71	0	4	2	0			0	0	0	0	0	0	13794
Kansas	894	7086	8702	311	396	3	1	3	1	486	530	2	2	0	0			6	10	0	0	0	0	18433
Kentucky	264140	12155	14847	254	648	1	9	11	0	1491	2315	2	2	2	0			6	8	0	0	0	0	295891
Louisiana	1945	14708	17368	697	793	0	5	11	2	884	1323	3	0	0	0			1	10	1	0	1	0	37752
Maine	299	4048	4387	135	171	2	0	0	0	70	165	0	6	7	0			4	3	0	0	0	0	9297
Mariana Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0
Maryland	1512	3220	8310	96	9	0	0	3	0	72	213	2	14	3	1			1	6	1	0	0	0	13463
Massachusetts	5214	6083	3931	402	175	0	0	1	0	2	5	0	1	0	1			42	23	5	0	0	0	15885
Michigan	16786	13634	17604	385	238	1025	1	4	0	5	489	2	69	24	0			4	1	1	2	3	1	50278
Minnesota	18939	9373	14173	486	330	0	1	2	0	176	512	0	8	11	0			2	6	0	0	2	2	44023
Mississippi	618	9785	13191	267	523	9	28	20	0	1171	1874	1	0	0	0			6	6	3	2	0	0	27504
Missouri	5884	21135	22852	1004	1060	0	11	16	0	1131	1754	3	99	11	4			33	25	6	0	3	0	55031
Montana	852	2848	5170	90	197	10	1	4	6	391	828	1	11	4	0			0	2	0	0	0	0	10415
Nebraska	4258	173	3724	23	10	0	1	0	0	5	96	1	7	0	0			0	0	1	0	0	0	8299
Nevada	1543	4889	3272	193	287	0	0	0	0	284	163	0	1	0	0			0	0	0	0	0	0	10632
New Hampshire	3630	4847	4165	95	2	1	0	0	0	0	23	1	69	11	1			2	2	0	0	1	0	12850
New Jersey	0	3462	4704	147	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	8313
New Mexico	829	5247	4974	334	277	0	2	3	1	397	618	1	33	0	0			0	4	0	1	0	0	12721
New York	2906	8650	23519	665	149	0	0	3	0	16	25	0	0	0	0			243	220	16	5	4	0	36421
North Carolina	22469	1370	20107	576	202	0	16	25	0	1771	2644	7	0	0	0			2	26	1	1	0	0	49217
North Dakota	453	1720	3744	65	79	0	0	3	0	65	157	0	0	0	0			1	1	0	0	0	0	6288
Ohio	9338	34878	31817	1392	1483	0	24	16	1	1228	1389	4	0	0	0			21	22	1	1	0	1	81616
Oklahoma	0	15005	14753	778	998	0	11	7	1	1639	2226	6	0	0	0			11	21	0	0	1	0	35457
Oregon	35	13586	11832	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	25453
Pennsylvania	24136	62752	16297	0	0	58	0	0	0	0	0	0	446	147	0			0	0	0	0	0	0	103836
Puerto Rico	0	1033	170	11	20	0	0	0	0	6	1	0	0	0	0			0	0	0	0	1	0	1242
Rhode Island	0	954	932	57	135	0	0	0	0	3	4	0	0	0	0			12	2	1	1	0	0	2101
South Carolina	7284	11452	10393	561	438	0	3	8	0	979	912	3	16	4	0			4	6	0	1	0	0	32064
South Dakota	819	2765	5484	143	151	0	0	1	0	123	239	0	0	0	0			1	1	0	0	0	0	9727
